-,,,,,,,,,,,,,,,,,,,,,-
,,,,,T,T,,,,,,,,,,,,,,,
,,BPS,T,,T,T,,T,T,,G,,,,,DT,,,,,
,,,T,T,,T,T,,,,,,,G,,,,G,,,
,,T,T,,,T,T,G,,,,,,,,,,DT,,,
,,,,,G,,T,T,T,,,,,,,G,,,,,
,,,,,,,T,T,T,,,,,DT,,,,,,,
,,G,,,,,T,T,T,,,,,,,,,,,,
,,,,,,,,,,G,,,,,,,,,,,
,,T,T,T,T,,,,,,,,,,,DT,,G,,,
,,,T,T,,,,G,,,,,,,,,,,,,
,,,,G,T,T,T,T,T,,,,,G,,,,,DT,,
,,,,,,,T,T,T,,G,,,,,,,,,,
,,,,,T,G,,,,,,,,,,,DT,,,,
,,T,T,T,T,,,,,,,,,,DT,,,G,,,
,,,T,T,,,,G,,,,,,,,G,,,,,
,,,T,,,,T,T,T,G,,,,,,,DT,,BES,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
