-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,BPS,,,,,,,,,,,
,,DT 34,,,,,,,,,,,,,,,,,,,
,,DT 52,,,,,,DT 60,,,,DT 66,,,,,,,,,
,,DT 11,DT 86,,,,,,,DT 36,,,,,DT,DT 34,,,,,
,,DT 278,,DT 43,DT 53,,,,,,,,,DT,DT 43,DT 57,,,,,
,,DT 34,,DT 43,,,,DT 96,,,,,,,,DT 11,,,,,
,,,,,,,,,,,,,,,DT 57,,DT 35,,,,
,,,,,DT 74,,,DT,,,,,,,,,,,,,
,,,,,,,,,,,,DT 234,,,DT,,,,,,
,,,DT 123,,,DT 76,,,DT 33,DT 23,,DT 93,,,,DT 43,,,,,
,,DT 123,,,,DT 3,,DT,DT 123,,,DT,,,,,,DT 33,,,
,,,,,,DT 97,,DT 75,,,,DT 123,,,,DT 97,,,,,
,,,,,,DT 32,DT 123,DT,,,DT 2,DT 223,,,,,,,,,
,,,,,,,,,,,,,,DT 95,,,,DT 98,,,
,,BES,,,,,,,,,,,,,,DT,,,BES 90,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,DT 66,,,,,,,,,,,,-
