-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,TN,,,TN,TN,TN,TN,TN,,,,,,,,,,
,,,TN,DT 331,TN,,TN,,,,TN,,,,House 35,,DT 254,,,,
,,TN,TN,,TN,,TN,,TN,TN,TN,TN,,,,,,,,,
,,TN,House 300,,TN,TN,TN,TN,TN,House 30,,TN,DT,TN,TN,TN,TN,,,,
,,TN,TNP,,TN,,,DT 243,,,TN,TN,TN,TN,TN,TNE,TN,DT 214,,,
,,TN,TN,,DT 34,,,,TN,TN,TN,,TN,,TN,DT 22,TN,,,,
,,,TN,,,,,TN,TN,,,DT 75,TN,TN,TN,TN,TN,House 120,,,
,,,TN,TN,,,DT 11,TN,,DT 1,,TN,,TN,TN,TN,TN,,,,
,,,,TN,TN,TN,,TN,,,,TN,,TN,,TN,TN,,,,
,,,DT 42,TN,TN,TN,TN,TN,TN,TN,,TN,DT 31,TN,TN,,,,,,
,,,,TN,,TN,TN,TN,,TN,TN,,TN,TN,,,House 222,,,,
,,House 90,,,,,,,House 15,TN,TN,TN,TN,DT 67,,,,,,,
,,,,,House 135,,DT 243,,,,,,,,,,,DT 12,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
