-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,T,,,,,T,G 33,,,,,,,DT 111,,,,
,,,G 124,,,,TN,TN,TN,TN,TN,TN,TN,TN,,,,G 65,,,
,,T ,,,T,TN,,TN,,,,,,,TN,DT 43,,,DT 342,,
,,,,,TN,,,,TN,,,,,,,TN,,,,,
,,,,TN,House 75,,G 24,,T,TN,,,,G 4,,House,TN,,,,
,,House 234 ,TN,T,,,,,,,TN,,,,,,DT 11,TN,,,
,,TN,TNP,TN,TN,TN,TN,TN,TN,G 23,,TN,TN,TN,TN,TN,TN,TNE,TN,,
,,,TN,T,,,,,,TN,,,,,,,DT 146,TN,House 88,,
,,,,TN,,House 357,G 246,,,,TN,DT 35,,G 10,House 23 ,,TN,,,,
,,,,,TN,,,,,,,TN,,,,TN,,,,,
,,T,,,T,TN,,,,,,,TN,,TN,DT 333,,,DT 4,,
,,,G 124,,,,TN,TN,TN,TN,TN,TN,TN,TN,,,,G 34,,,
,,,,T,,,,,,,G 11,DT,,,,,DT 213,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
