-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,T,TN,,TN,T,TN,TNP,TN,T,TN,,TN,T,,,,,
,,,,TN,,TN,,TN,TN,TN,TN,TN,,TN,,TN,,,,,
,,,TN,G 32,TN,T,,,,TN,,,,T,TN,G,TN,,,,
,,TN,T,TN,,,,T,,TN,,T,,,,TN,T,TN,,,
,,,TN,,,,,,T,,T,,,,,,TN,,,,
,,TN,,TN,TN,TN,,,,,,,,,,TN,,TN,,,
,,,TN,,,TN,,House 324,,,House 123,,House,,,,TN,,,,
,,G 44,TN,TN,G 63,TN,TN,TN,TN,TN,TN,TN,TN,TN,G 42,,TN,G 323,,,
,,,TN,,,,House 125,,House 33 ,,,House 21,,TN,,,TN,,,,
,,TN,,TN,,,,,,,,,,TN,TN,TN,,TN,,,
,,,TN,,,,,,,,,,,,,,TN,,,,
,,TN,,TN,,,,,,TN,,,,,,TN,,TN,,,
,,,TN,G 232,,,,,DT 321,TN,DT 44,,,,,G 11,TN,,,,
,,,,TN,,TN,,TN,TN,TN,TN,TN,,TN,,TN,,,,,
,,,,,TN,DT,TN,DT 21,TN,TNE,TN,DT 33,TN,DT 32,TN,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
