-,,,,,,,,,,,,,,,,,,,,,-
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
,C,TN,TN,,,,,,,,,,,,,,,TN,TN,C,
,C,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,C,
,C,TN,TN,,,,TN,,,,,,,TN,,,,TN,TN,C,
,C,TN,TN,TN,,,TN,TN,,,,,TN,TN,,,TN,TN,TN,C,
,C,TN,,TN,TN,,,TN,,,,,TN,,,TN,TN,,TN,C,
,C,TN,,,TN,TN,TN,TN,TN,,,TN,TN,TN,TN,TN,,,TN,C,
,C,TN,,,,,TN,TN,TN,,,TN,TN,TN,,,,,TN,C,
,C,TN,TN,TN,TN,TN,TN,TN,TNP,,,TNE,TN,TN,TN,TN,TN,TN,TN,C,
,C,TN,,,,,TN,TN,TN,,,TN,TN,TN,,,,,TN,C,
,C,TN,,,TN,TN,TN,TN,TN,,,TN,TN,TN,TN,TN,,,TN,C,
,C,TN,,TN,TN,,,TN,,,,,TN,,,TN,TN,,TN,C,
,C,TN,TN,TN,,,TN,TN,,,,,TN,TN,,,TN,TN,TN,C,
,C,TN,TN,,,,TN,,,,,,,TN,,,,TN,TN,C,
,C,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,C,
,C,TN,TN,,,,,,,,,,,,,,,TN,TN,C,
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
-,,,,,,,,,,,,,,,,,,,,,-
