-,,,,,,,,,,,,,,,,,,,,,-
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
,C,,,,TN,TN,TN,TN,TN,TN,TN,,,,,,,,,C,
,C,,TN,TN,TN,,,,,,TN,,,,,,,,,C,
,C,,TN,TNP,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,,,,,,C,
,C,,TN,TN,TN,,,,,TN,TN,,,TN,,,,,,C,
,C,,TN,,TN,,,,,TN,TN,,,TN,TN,TN,TN,TN,,C,
,C,,TN,,TN,,,,,TN,TN,TN,TN,TN,,,,TN,,C,
,C,,TN,,TN,TN,TN,TN,TN,TN,TN,,,TN,,,,TN,,C,
,C,,TN,,,,TN,,,TN,TN,,,TN,,,,TN,,C,
,C,,TN,,,,TN,,,TN,TN,TN,TN,TN,TN,TN,,TN,,C,
,C,,TN,,,,TN,TN,TN,TN,TN,,,,,TN,,TN,,C,
,C,,TN,TN,TN,TN,TN,,,TN,TN,,,,,TN,,TN,,C,
,C,,,,,,TN,,,TN,TN,,,,,TN,TN,TN,,C,
,C,,,,,,TN,TN,TN,TN,TN,TN,TN,TN,TN,TN,TNE,TN,,C,
,C,,,,,,,,,TN,,,,,,TN,TN,TN,,C,
,C,,,,,,,,,TN,TN,TN,TN,TN,TN,TN,,,,C,
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
-,,,,,,,,,,,,,,,,,,,,,-
