-,,,,,,,,,,,,,,,,,,,,,-
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,TNP,TN,TNE,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,,,,,,,,,,,,,,,,,,,C,
,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
-,,,,,,,,,,,,,,,,,,,,,-
