-,,,,,,,,,,,,,,,,,,,,,-
,,,,T,,,T,,,,,,,,,,House 75,,,,
,,T,,House 90,TN,TN,TN,TN,TN,,,CT 12,,,G,T,,,,,
,,,,T,TN,,TN,,TN,TN,TN,TN,TN,TN,,B,,G,,,
,,,G,TNP,,,TN,,TN,,,,,TN,,,TN,,,,
,,T,,TN,T,TN,,T,TN,,G,,,TN,,TN,,TN,,,
,T,,T,TN,,TN,G,,TN,,,DT,,TN,T,,,,TN,,
,,,,TN,,,TN,TN,TN,,B 180,,,TN,,DT 23,,TN,,,
,,T,,TN,T,T,,,TN,,,,TN,TN,,,TN,,,,
,,G,,TN,RT 45,,T,TN,TN,TN,,TN,,,,,,TN,RT 44,,
,,,,TN,,,,,TN,,House 111,,TN,T,B 66,G,,,TN,,
,T,,T,TN,T,House 199,DT66,,TN,TN,,,,TN,,,,TN,,,
,,T,,TN,,T,T,,TN,,TN,,,TN,House,,,,TN,,
,,,T,TN,G,,TN,,TN,,,TN,T,TN,,DT 35,DT 355,,TN,,
,,G,,TN,,TN,,TN,TN,TN,,,TN,TN,TN,TN,TNE,TN,TN,,
,,,,,TN,,B,,TN,,,House 66,,TN,,DT 48,TN,,TN,,
,,,,,,,,,G,,CT 88,,,G,House 12,,TN,TN,,,
,,,,,,House 199,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
