-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,T,,,,,,,,,,,House 35,,T,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,House 300,,,,,,,House 30,,,T,,,,,,,,
,,,,,,,,T,,,,,,,,,,T,,,
,,,,,T,,,,,,,,,,,T,,,,,
,,,,,,,,,,,,T,,,,,,House 120,,,
,,,,,,,T,,,T,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,T,,,,,,,,,,T,,,,,,,,
,,,,,,,,,,,,,,,,,House 222,,,,
,,House 90,,,,,,,House 15,,,,,T,,,,,,,
,,,,,House 135,,T,,,,,,,,,,,T,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
