-,,,,,,,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,,,,,,,
,,G 46,,,,T,TN,TN,TN,TN,TN,TN,TN,TN,DT 123,,,G 11,,,
,,,,,,TN,,House 188,,,,,TN,House 123,TN,,,,,,
,,,B 158,,,TN,,,,,G 35,TN,,,TN,,,,,,
,,,,,T,TN,,,,TN,TN,,,,TN,,,B 261,,,
,,,,,,TN,T,,,TN,TN,,,DT 75,TN,,,,,,
,,,,,,TN,,,TN,,,TN,,,TN,,,,,,
,,,,,,TN,,TN,,CT,CT,,TN,,TN,DT 23,,,,,
,,,,,,G 675,TN,TNP,TN,TN,TN,TN,TNE,TN,G 32,,,,,,
,,,,,,TN,,TN,,CT,CT,,TN,,TN,DT 11,,,,,
,,,,,,TN,,,TN,,,TN,,,TN,,,,,,
,,,,,,TN,T,,,TN,TN,,,DT 99,TN,,,B 87,,,
,,,,,T,TN,,,,TN,DT 45,,,,TN,,,,,,
,,,B 44,,,TN,,,TN,G,,,,,TN,,,,,,
,,,,,,TN,House 256,TN,,,,,House 65,,TN,,,,,,
,,G 12,,,,T,TN,TN,TN,TN,TN,TN,TN,TN,DT 121,,,G 98,,,
,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,-
